features,location,price
 140 m²  90 m²  3 hab.  2 baños  1 estac. ,"Tumbaco, Quito",USD 94.000
 149 m²  149 m²  3 hab.  3 baños  1 estac. ,"Conocoto, Quito",USD 79.000
 107 m²  78 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 80.000
 165 m²  165 m²  2 hab.  2 baños  2 estac. ,"Centro Norte, Quito",USD 150.000
 115 m²  115 m²  3 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 110.000
 159 m²  137 m²  4 hab.  2 baños  1 estac. ,"Amagasí, Quito",USD 137.000
 700 m²  700 m²  3 hab.  4 baños  4 estac. ,"Cumbayá, Quito",USD 1.700.000
 230 m²  230 m²  5 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 119.000
 248 m²  248 m²  9 hab.  6 baños  1 estac. ,"Carapungo, Quito",USD 110.000
 588 m²  310 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 385.000
 660 m²  430 m²  4 hab.  4 baños  4 estac. ,"Cumbayá, Quito",USD 680.000
 536 m²  531 m²  12 hab.  8 baños  7 estac. ,"El Inca, Quito",USD 450.000
 200 m²  200 m²  3 hab.  2 baños ,"La Armenia, Quito",USD 225.000
 174 m²  4 hab.  2 baños  1 estac. ,"Carcelén, Quito",USD 125.000
 228 m²  228 m²  4 hab.  3 baños  1 estac. ,"Los Chillos, Quito",USD 99.900
 408 m²  408 m²  7 hab.  3 baños  3 estac. ,"Quito, Pichincha",USD 230.000
 197 m²  197 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 195.000
 294 m²  130 m²  1 hab.  5 baños ,"Sur de Quito, Quito",USD 120.000
 117 m²  117 m²  3 hab.  2 baños ,"Mitad del Mundo, Quito",USD 101.900
 765 m²  265 m²  4 hab.  4 baños  5 estac. ,"Cumbayá, Quito",USD 279.800
 127 m²  127 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 145.000
 130 m²  130 m²  3 hab.  2 baños  2 estac. ,"Ponceano, Quito",USD 110.000
 291 m²  291 m²  4 hab.  3 baños  1 estac. ,"El Pinar, Quito",USD 145.000
 1056 m²  1056 m²  6 hab.  7 baños  2 estac. ,"Centro Norte, Quito",USD 475.000
 265 m²  192 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 182.000
 300 m²  300 m²  4 hab.  3 baños  3 estac. ,"San Isidro - Vista Grande, Quito",USD 190.000
 279 m²  216 m²  5 hab.  4 baños  2 estac. ,"Centro Norte, Quito",USD 220.000
 361 m²  361 m²  3 hab.  4 baños  4 estac. ,"Mitad del Mundo, Quito",USD 165.000
 454 m²  454 m²  4 hab.  3 baños  8 estac. ,"El Condado, Quito",USD 690.000
 87 m²  70 m²  3 hab.  2 baños  1 estac. ,"Calderón, Quito",USD 65.000
 176 m²  176 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 175.000
 500 m²  100 m²  3 hab.  2 baños ,"Calderón, Quito",USD 180.000
 111 m²  111 m²  3 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 74.900
 183 m²  163 m²  3 hab.  2 baños  2 estac. ,"Carcelén, Quito",USD 128.000
 221 m²  169 m²  3 hab.  2 baños  2 estac. ,"Norte de Quito, Quito",USD 99.000
 845 m²  415 m²  8 hab.  6 baños  8 estac. ,"Mitad del Mundo, Quito",USD 149.900
 250 m²  250 m²  6 hab.  4 baños ,"Sur de Quito, Quito",USD 165.000
 125 m²  125 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 78.000
 1050 m²  400 m²  4 hab.  4 baños  4 estac. ,"Cumbayá, Quito",USD 750.000
 1150 m²  1150 m²  4 hab.  1 baño  7 estac. ,"La Colón, Quito",USD 950.000
 292 m²  292 m²  4 hab.  3 baños  2 estac. ,"Conocoto, Quito",USD 210.000
 240 m²  240 m²  4 hab.  3 baños ,"Norte de Quito, Quito",USD 180.000
